id,codigoCatastral,tipo,descripcion,valorBaseMensual,disponible
52,INM-62831,Local Comercial,Seguridad reforzada y acceso controlado.,8368569,True
53,INM-95310,Penthouse,Ubicado en zona norte con vista panorámica.,9602367,True
54,INM-11185,Parqueadero Cubierto,Acabados de lujo y eficiencia energética.,5246498,True
55,INM-29548,Parqueadero Cubierto,Ubicación estratégica en el centro financiero.,9848918,True
56,INM-47002,Consultorio Médico,Ubicado en zona norte con vista panorámica.,11029312,True
57,INM-15743,Lote Urbanizado,Área residencial tranquila con zonas verdes.,14098992,True
58,INM-25521,Lote Urbanizado,Seguridad reforzada y acceso controlado.,8777658,True
59,INM-73399,Casa Campestre,Espacio abierto con doble altura.,12582160,True
60,INM-23048,Apartamento Studio,Ubicado en zona norte con vista panorámica.,6863587,True
61,INM-87329,Penthouse,Ubicado en zona norte con vista panorámica.,6804711,True
62,INM-52803,Casa Campestre,Área residencial tranquila con zonas verdes.,10687108,True
63,INM-76515,Parqueadero Cubierto,Área residencial tranquila con zonas verdes.,6606903,True
64,INM-63300,Bodega Industrial,Espacio abierto con doble altura.,3542256,True
65,INM-47030,Consultorio Médico,Seguridad reforzada y acceso controlado.,9508755,True
66,INM-27477,Bodega Industrial,Ubicado en zona norte con vista panorámica.,13249679,True
67,INM-20307,Penthouse,Ubicación estratégica en el centro financiero.,5537176,True
68,INM-73973,Parqueadero Cubierto,Área residencial tranquila con zonas verdes.,6615196,True
69,INM-25298,Consultorio Médico,Espacio abierto con doble altura.,9113247,True
70,INM-71043,Oficina Corporativa,Acabados de lujo y eficiencia energética.,6301939,True
71,INM-87427,Lote Urbanizado,Ubicación estratégica en el centro financiero.,2694505,True
72,INM-77997,Parqueadero Cubierto,Espacio abierto con doble altura.,9856857,True
73,INM-95408,Apartamento Studio,Cerca a centros comerciales y transporte público.,10529537,True
74,INM-26762,Oficina Corporativa,Seguridad reforzada y acceso controlado.,4318123,True
75,INM-18216,Local Comercial,Acabados de lujo y eficiencia energética.,9630741,True
76,INM-30796,Bodega Industrial,Espacio abierto con doble altura.,14082324,True
77,INM-71856,Lote Urbanizado,Ubicación estratégica en el centro financiero.,12387057,True
78,INM-48221,Parqueadero Cubierto,Área residencial tranquila con zonas verdes.,5265734,True
79,INM-90449,Parqueadero Cubierto,Cerca a centros comerciales y transporte público.,14379931,True
80,INM-64481,Apartamento Studio,Acabados de lujo y eficiencia energética.,7289302,True
81,INM-15348,Apartamento Studio,Ubicado en zona norte con vista panorámica.,12772530,True
82,INM-51719,Lote Urbanizado,Cerca a centros comerciales y transporte público.,14561905,True
83,INM-17847,Parqueadero Cubierto,Cerca a centros comerciales y transporte público.,9816777,True
84,INM-64375,Lote Urbanizado,Espacio abierto con doble altura.,7580145,True
85,INM-78020,Bodega Industrial,Acabados de lujo y eficiencia energética.,13651319,True
86,INM-74474,Local Comercial,Espacio abierto con doble altura.,6051727,True
87,INM-95105,Apartamento Studio,Ubicación estratégica en el centro financiero.,11189029,True
88,INM-19075,Consultorio Médico,Seguridad reforzada y acceso controlado.,4896911,True
89,INM-52636,Apartamento Studio,Seguridad reforzada y acceso controlado.,9425014,True
90,INM-21325,Parqueadero Cubierto,Cerca a centros comerciales y transporte público.,7458586,True
91,INM-98032,Consultorio Médico,Ubicación estratégica en el centro financiero.,6185550,True
92,INM-39434,Lote Urbanizado,Espacio abierto con doble altura.,8563967,True
93,INM-43876,Local Comercial,Seguridad reforzada y acceso controlado.,1566911,True
94,INM-10774,Local Comercial,Cerca a centros comerciales y transporte público.,3306543,True
95,INM-14472,Penthouse,Área residencial tranquila con zonas verdes.,13496914,True
96,INM-50063,Lote Urbanizado,Seguridad reforzada y acceso controlado.,4472304,True
97,INM-13895,Apartamento Studio,Ubicado en zona norte con vista panorámica.,13757768,True
98,INM-84416,Local Comercial,Seguridad reforzada y acceso controlado.,9572991,True
99,INM-63029,Parqueadero Cubierto,Ubicación estratégica en el centro financiero.,13700613,True
100,INM-55741,Penthouse,Cerca a centros comerciales y transporte público.,11131696,True
101,INM-79188,Consultorio Médico,Ubicado en zona norte con vista panorámica.,11533759,True
102,INM-97155,Parqueadero Cubierto,Ubicado en zona norte con vista panorámica.,7434232,True
103,INM-94286,Parqueadero Cubierto,Cerca a centros comerciales y transporte público.,11632530,True
104,INM-20448,Local Comercial,Área residencial tranquila con zonas verdes.,7230817,True
105,INM-21440,Parqueadero Cubierto,Espacio abierto con doble altura.,5816818,True
106,INM-11971,Penthouse,Área residencial tranquila con zonas verdes.,12804590,True
107,INM-60562,Apartamento Studio,Acabados de lujo y eficiencia energética.,12969278,True
108,INM-92679,Local Comercial,Área residencial tranquila con zonas verdes.,8479492,True
109,INM-10794,Bodega Industrial,Seguridad reforzada y acceso controlado.,7352630,True
110,INM-14061,Oficina Corporativa,Seguridad reforzada y acceso controlado.,11896873,True
111,INM-55139,Penthouse,Área residencial tranquila con zonas verdes.,6819912,True
112,INM-53016,Consultorio Médico,Cerca a centros comerciales y transporte público.,2650565,True
113,INM-50104,Local Comercial,Acabados de lujo y eficiencia energética.,1712988,True
114,INM-92721,Casa Campestre,Ubicación estratégica en el centro financiero.,10750744,True
115,INM-78171,Lote Urbanizado,Espacio abierto con doble altura.,855262,True
116,INM-35333,Bodega Industrial,Cerca a centros comerciales y transporte público.,4549455,True
117,INM-60431,Penthouse,Ubicado en zona norte con vista panorámica.,3462791,True
118,INM-82145,Consultorio Médico,Espacio abierto con doble altura.,9996922,True
119,INM-96840,Lote Urbanizado,Acabados de lujo y eficiencia energética.,11002049,True
120,INM-52799,Parqueadero Cubierto,Área residencial tranquila con zonas verdes.,9060606,True
121,INM-21639,Penthouse,Acabados de lujo y eficiencia energética.,1353679,True
122,INM-22685,Apartamento Studio,Cerca a centros comerciales y transporte público.,5238376,True
123,INM-35528,Casa Campestre,Cerca a centros comerciales y transporte público.,6508448,True
124,INM-92581,Bodega Industrial,Ubicación estratégica en el centro financiero.,932347,True
125,INM-78259,Apartamento Studio,Seguridad reforzada y acceso controlado.,3448406,True
126,INM-60546,Lote Urbanizado,Seguridad reforzada y acceso controlado.,8675699,True
127,INM-46185,Penthouse,Acabados de lujo y eficiencia energética.,12924807,True
128,INM-92542,Penthouse,Espacio abierto con doble altura.,11818272,True
129,INM-23395,Apartamento Studio,Seguridad reforzada y acceso controlado.,952247,True
130,INM-88757,Casa Campestre,Espacio abierto con doble altura.,12955839,True
131,INM-49048,Parqueadero Cubierto,Ubicado en zona norte con vista panorámica.,1562716,True
132,INM-93312,Bodega Industrial,Seguridad reforzada y acceso controlado.,5361416,True
133,INM-56750,Consultorio Médico,Acabados de lujo y eficiencia energética.,1797312,True
134,INM-61375,Parqueadero Cubierto,Acabados de lujo y eficiencia energética.,12128545,True
135,INM-16972,Parqueadero Cubierto,Espacio abierto con doble altura.,11432390,True
136,INM-14710,Consultorio Médico,Ubicado en zona norte con vista panorámica.,9602993,True
137,INM-89059,Lote Urbanizado,Ubicación estratégica en el centro financiero.,3632547,True
138,INM-15862,Local Comercial,Seguridad reforzada y acceso controlado.,1871258,True
139,INM-41707,Lote Urbanizado,Seguridad reforzada y acceso controlado.,8898974,True
140,INM-38647,Parqueadero Cubierto,Seguridad reforzada y acceso controlado.,12738166,True
141,INM-59794,Apartamento Studio,Ubicación estratégica en el centro financiero.,7251795,True
142,INM-63063,Lote Urbanizado,Cerca a centros comerciales y transporte público.,1601827,True
143,INM-28397,Penthouse,Espacio abierto con doble altura.,3934252,True
144,INM-45904,Local Comercial,Ubicación estratégica en el centro financiero.,2643667,True
145,INM-68664,Apartamento Studio,Cerca a centros comerciales y transporte público.,9447860,True
146,INM-79972,Local Comercial,Cerca a centros comerciales y transporte público.,4173171,True
147,INM-32754,Apartamento Studio,Espacio abierto con doble altura.,4378933,True
148,INM-22211,Local Comercial,Espacio abierto con doble altura.,13819014,True
149,INM-19189,Apartamento Studio,Ubicado en zona norte con vista panorámica.,13760857,True
150,INM-14563,Bodega Industrial,Seguridad reforzada y acceso controlado.,8743628,True
151,INM-88794,Casa Campestre,Área residencial tranquila con zonas verdes.,7677524,True
152,INM-25810,Consultorio Médico,Ubicación estratégica en el centro financiero.,3236587,True
153,INM-57578,Local Comercial,Ubicado en zona norte con vista panorámica.,6396855,True
154,INM-88279,Local Comercial,Acabados de lujo y eficiencia energética.,11826456,True
155,INM-67390,Oficina Corporativa,Acabados de lujo y eficiencia energética.,9586283,True
156,INM-57230,Local Comercial,Ubicado en zona norte con vista panorámica.,12193552,True
157,INM-95450,Oficina Corporativa,Ubicado en zona norte con vista panorámica.,8229701,True
158,INM-47075,Parqueadero Cubierto,Acabados de lujo y eficiencia energética.,10953882,True
159,INM-58795,Apartamento Studio,Acabados de lujo y eficiencia energética.,4531229,True
160,INM-39575,Parqueadero Cubierto,Ubicación estratégica en el centro financiero.,7612080,True
161,INM-46307,Local Comercial,Cerca a centros comerciales y transporte público.,2458117,True
162,INM-28456,Casa Campestre,Seguridad reforzada y acceso controlado.,11271614,True
163,INM-96139,Apartamento Studio,Cerca a centros comerciales y transporte público.,8518506,True
164,INM-30203,Penthouse,Ubicación estratégica en el centro financiero.,7745713,True
165,INM-35590,Consultorio Médico,Seguridad reforzada y acceso controlado.,14964157,True
166,INM-53047,Apartamento Studio,Ubicado en zona norte con vista panorámica.,5430620,True
167,INM-33004,Casa Campestre,Espacio abierto con doble altura.,7200933,True
168,INM-12396,Lote Urbanizado,Espacio abierto con doble altura.,12725656,True
169,INM-36453,Parqueadero Cubierto,Ubicación estratégica en el centro financiero.,2847180,True
170,INM-93316,Lote Urbanizado,Ubicado en zona norte con vista panorámica.,9354557,True
171,INM-40180,Apartamento Studio,Ubicado en zona norte con vista panorámica.,4562598,True
172,INM-13699,Lote Urbanizado,Acabados de lujo y eficiencia energética.,7117618,True
173,INM-17869,Bodega Industrial,Cerca a centros comerciales y transporte público.,13858034,True
174,INM-22741,Consultorio Médico,Ubicado en zona norte con vista panorámica.,11067826,True
175,INM-89025,Lote Urbanizado,Ubicado en zona norte con vista panorámica.,10322113,True
176,INM-32110,Local Comercial,Espacio abierto con doble altura.,3741152,True
177,INM-35198,Bodega Industrial,Acabados de lujo y eficiencia energética.,6925622,True
178,INM-52428,Parqueadero Cubierto,Espacio abierto con doble altura.,5281665,True
179,INM-15261,Local Comercial,Ubicado en zona norte con vista panorámica.,7593146,True
180,INM-93729,Local Comercial,Seguridad reforzada y acceso controlado.,4864876,True
181,INM-36129,Casa Campestre,Acabados de lujo y eficiencia energética.,5337126,True
182,INM-39692,Bodega Industrial,Ubicación estratégica en el centro financiero.,4444960,True
183,INM-97674,Oficina Corporativa,Cerca a centros comerciales y transporte público.,12944313,True
184,INM-29764,Penthouse,Área residencial tranquila con zonas verdes.,7225946,True
185,INM-40891,Consultorio Médico,Ubicado en zona norte con vista panorámica.,6649346,True
186,INM-27415,Penthouse,Ubicado en zona norte con vista panorámica.,9053133,True
187,INM-63763,Lote Urbanizado,Ubicado en zona norte con vista panorámica.,12923450,True
188,INM-47028,Casa Campestre,Cerca a centros comerciales y transporte público.,10607444,True
189,INM-56986,Casa Campestre,Espacio abierto con doble altura.,13571375,True
190,INM-70903,Casa Campestre,Área residencial tranquila con zonas verdes.,11003065,True
191,INM-99426,Bodega Industrial,Cerca a centros comerciales y transporte público.,12414457,True
192,INM-36415,Apartamento Studio,Seguridad reforzada y acceso controlado.,2066018,True
193,INM-32631,Consultorio Médico,Ubicación estratégica en el centro financiero.,13941012,True
194,INM-29020,Local Comercial,Ubicado en zona norte con vista panorámica.,12354974,True
195,INM-98301,Penthouse,Seguridad reforzada y acceso controlado.,11247928,True
196,INM-92830,Consultorio Médico,Espacio abierto con doble altura.,4249881,True
197,INM-49284,Bodega Industrial,Seguridad reforzada y acceso controlado.,6651392,True
198,INM-90040,Oficina Corporativa,Acabados de lujo y eficiencia energética.,5448954,True
199,INM-88171,Parqueadero Cubierto,Ubicación estratégica en el centro financiero.,8107249,True
200,INM-24110,Bodega Industrial,Seguridad reforzada y acceso controlado.,11569946,True
201,INM-61941,Penthouse,Ubicación estratégica en el centro financiero.,8882366,True
202,INM-49832,Local Comercial,Área residencial tranquila con zonas verdes.,3759565,True
203,INM-96781,Bodega Industrial,Área residencial tranquila con zonas verdes.,4148361,True
204,INM-78244,Bodega Industrial,Área residencial tranquila con zonas verdes.,1409131,True
205,INM-92198,Apartamento Studio,Área residencial tranquila con zonas verdes.,7652361,True
206,INM-23319,Local Comercial,Área residencial tranquila con zonas verdes.,2484235,True
207,INM-76114,Apartamento Studio,Seguridad reforzada y acceso controlado.,8266293,True
208,INM-71204,Parqueadero Cubierto,Acabados de lujo y eficiencia energética.,6380153,True
209,INM-43022,Local Comercial,Espacio abierto con doble altura.,3873879,True
210,INM-20110,Bodega Industrial,Área residencial tranquila con zonas verdes.,8888359,True
211,INM-30626,Consultorio Médico,Cerca a centros comerciales y transporte público.,9882052,True
212,INM-41678,Consultorio Médico,Acabados de lujo y eficiencia energética.,5001951,True
213,INM-11495,Apartamento Studio,Espacio abierto con doble altura.,8682056,True
214,INM-10731,Bodega Industrial,Acabados de lujo y eficiencia energética.,4619124,True
215,INM-91571,Bodega Industrial,Acabados de lujo y eficiencia energética.,9317606,True
216,INM-49591,Lote Urbanizado,Ubicado en zona norte con vista panorámica.,12876929,True
217,INM-63199,Apartamento Studio,Ubicación estratégica en el centro financiero.,14997336,True
218,INM-61317,Penthouse,Ubicado en zona norte con vista panorámica.,6630125,True
219,INM-79732,Bodega Industrial,Área residencial tranquila con zonas verdes.,2559771,True
220,INM-42895,Parqueadero Cubierto,Cerca a centros comerciales y transporte público.,12472231,True
221,INM-19005,Parqueadero Cubierto,Ubicación estratégica en el centro financiero.,2034030,True
222,INM-12279,Apartamento Studio,Acabados de lujo y eficiencia energética.,9267973,True
223,INM-69324,Consultorio Médico,Área residencial tranquila con zonas verdes.,7484448,True
224,INM-50813,Bodega Industrial,Acabados de lujo y eficiencia energética.,4805471,True
225,INM-88467,Penthouse,Ubicado en zona norte con vista panorámica.,10513723,True
226,INM-87063,Apartamento Studio,Acabados de lujo y eficiencia energética.,4361711,True
227,INM-60467,Consultorio Médico,Ubicado en zona norte con vista panorámica.,9342285,True
228,INM-40349,Oficina Corporativa,Ubicación estratégica en el centro financiero.,9390906,True
229,INM-89028,Oficina Corporativa,Acabados de lujo y eficiencia energética.,8114581,True
230,INM-80838,Casa Campestre,Ubicación estratégica en el centro financiero.,8964108,True
231,INM-21329,Apartamento Studio,Seguridad reforzada y acceso controlado.,12706486,True
232,INM-65439,Bodega Industrial,Ubicación estratégica en el centro financiero.,12730204,True
233,INM-47874,Casa Campestre,Seguridad reforzada y acceso controlado.,4641881,True
234,INM-13164,Parqueadero Cubierto,Espacio abierto con doble altura.,11005294,True
235,INM-23207,Parqueadero Cubierto,Ubicación estratégica en el centro financiero.,884805,True
236,INM-97689,Oficina Corporativa,Ubicación estratégica en el centro financiero.,5030509,True
237,INM-91049,Consultorio Médico,Ubicado en zona norte con vista panorámica.,3033079,True
238,INM-92844,Apartamento Studio,Espacio abierto con doble altura.,9294427,True
239,INM-72780,Local Comercial,Área residencial tranquila con zonas verdes.,12884049,True
240,INM-91196,Apartamento Studio,Cerca a centros comerciales y transporte público.,1465058,True
241,INM-71871,Consultorio Médico,Cerca a centros comerciales y transporte público.,8928315,True
242,INM-79720,Penthouse,Cerca a centros comerciales y transporte público.,11484285,True
243,INM-99724,Penthouse,Área residencial tranquila con zonas verdes.,2686520,True
244,INM-89133,Consultorio Médico,Ubicado en zona norte con vista panorámica.,9202796,True
245,INM-75049,Local Comercial,Seguridad reforzada y acceso controlado.,5643066,True
246,INM-68596,Oficina Corporativa,Cerca a centros comerciales y transporte público.,13609292,True
247,INM-59179,Oficina Corporativa,Acabados de lujo y eficiencia energética.,9756947,True
248,INM-67746,Bodega Industrial,Espacio abierto con doble altura.,11483863,True
249,INM-60504,Oficina Corporativa,Ubicación estratégica en el centro financiero.,12331820,True
250,INM-33871,Penthouse,Ubicado en zona norte con vista panorámica.,2966220,True
251,INM-91291,Apartamento Studio,Espacio abierto con doble altura.,10253722,True
252,INM-39768,Apartamento Studio,Área residencial tranquila con zonas verdes.,4032352,True
253,INM-58211,Consultorio Médico,Ubicación estratégica en el centro financiero.,1145194,True
254,INM-84911,Consultorio Médico,Área residencial tranquila con zonas verdes.,13288354,True
255,INM-51889,Apartamento Studio,Cerca a centros comerciales y transporte público.,2154467,True
256,INM-68950,Parqueadero Cubierto,Ubicación estratégica en el centro financiero.,12811792,True
257,INM-17383,Bodega Industrial,Ubicado en zona norte con vista panorámica.,3557781,True
258,INM-31153,Casa Campestre,Área residencial tranquila con zonas verdes.,12904938,True
259,INM-14753,Penthouse,Seguridad reforzada y acceso controlado.,7763721,True
260,INM-58655,Local Comercial,Ubicación estratégica en el centro financiero.,3756452,True
261,INM-72951,Bodega Industrial,Ubicación estratégica en el centro financiero.,2782382,True
262,INM-45479,Local Comercial,Área residencial tranquila con zonas verdes.,14741405,True
263,INM-22767,Penthouse,Acabados de lujo y eficiencia energética.,13322752,True
264,INM-14307,Lote Urbanizado,Espacio abierto con doble altura.,14707471,True
265,INM-75127,Local Comercial,Cerca a centros comerciales y transporte público.,7352168,True
266,INM-21295,Lote Urbanizado,Área residencial tranquila con zonas verdes.,8772687,True
267,INM-33813,Parqueadero Cubierto,Cerca a centros comerciales y transporte público.,9690088,True
268,INM-24157,Local Comercial,Área residencial tranquila con zonas verdes.,11402995,True
269,INM-53628,Parqueadero Cubierto,Espacio abierto con doble altura.,2893807,True
270,INM-90581,Bodega Industrial,Acabados de lujo y eficiencia energética.,8808330,True
271,INM-68107,Local Comercial,Área residencial tranquila con zonas verdes.,13610097,True
272,INM-36879,Local Comercial,Ubicado en zona norte con vista panorámica.,4379167,True
273,INM-47473,Lote Urbanizado,Cerca a centros comerciales y transporte público.,6951230,True
274,INM-56113,Casa Campestre,Espacio abierto con doble altura.,13914694,True
275,INM-53736,Lote Urbanizado,Espacio abierto con doble altura.,11808394,True
276,INM-78623,Local Comercial,Seguridad reforzada y acceso controlado.,10223930,True
277,INM-48819,Consultorio Médico,Espacio abierto con doble altura.,9332640,True
278,INM-79545,Consultorio Médico,Cerca a centros comerciales y transporte público.,9528728,True
279,INM-57268,Lote Urbanizado,Ubicación estratégica en el centro financiero.,3783274,True
280,INM-80858,Penthouse,Ubicación estratégica en el centro financiero.,5373098,True
281,INM-28803,Consultorio Médico,Acabados de lujo y eficiencia energética.,9306003,True
282,INM-52365,Penthouse,Ubicación estratégica en el centro financiero.,9527990,True
283,INM-44932,Lote Urbanizado,Ubicación estratégica en el centro financiero.,2751301,True
284,INM-29246,Oficina Corporativa,Ubicado en zona norte con vista panorámica.,1202932,True
285,INM-79272,Parqueadero Cubierto,Área residencial tranquila con zonas verdes.,4496819,True
286,INM-85211,Casa Campestre,Acabados de lujo y eficiencia energética.,987444,True
287,INM-43671,Penthouse,Acabados de lujo y eficiencia energética.,14111830,True
288,INM-70721,Oficina Corporativa,Ubicación estratégica en el centro financiero.,8499371,True
289,INM-17552,Bodega Industrial,Seguridad reforzada y acceso controlado.,8015121,True
290,INM-26716,Local Comercial,Ubicación estratégica en el centro financiero.,1560827,True
291,INM-37999,Casa Campestre,Ubicación estratégica en el centro financiero.,7590531,True
292,INM-79687,Apartamento Studio,Área residencial tranquila con zonas verdes.,9089292,True
293,INM-53714,Lote Urbanizado,Área residencial tranquila con zonas verdes.,2755647,True
294,INM-79326,Oficina Corporativa,Área residencial tranquila con zonas verdes.,2992545,True
295,INM-94842,Local Comercial,Espacio abierto con doble altura.,2211274,True
296,INM-64371,Bodega Industrial,Seguridad reforzada y acceso controlado.,4106021,True
297,INM-31877,Consultorio Médico,Seguridad reforzada y acceso controlado.,7287188,True
298,INM-63609,Casa Campestre,Ubicado en zona norte con vista panorámica.,2508183,True
299,INM-73496,Oficina Corporativa,Espacio abierto con doble altura.,6297781,True
300,INM-33634,Bodega Industrial,Cerca a centros comerciales y transporte público.,12380332,True
301,INM-89596,Apartamento Studio,Seguridad reforzada y acceso controlado.,4504081,True
302,INM-95284,Apartamento Studio,Ubicación estratégica en el centro financiero.,4360943,True
303,INM-72947,Consultorio Médico,Ubicación estratégica en el centro financiero.,9190910,True
304,INM-66872,Apartamento Studio,Espacio abierto con doble altura.,1033669,True
305,INM-14967,Penthouse,Ubicado en zona norte con vista panorámica.,9637649,True
306,INM-30230,Lote Urbanizado,Área residencial tranquila con zonas verdes.,12574479,True
307,INM-49985,Parqueadero Cubierto,Espacio abierto con doble altura.,13015339,True
308,INM-35073,Consultorio Médico,Área residencial tranquila con zonas verdes.,2675061,True
309,INM-76244,Parqueadero Cubierto,Ubicado en zona norte con vista panorámica.,7685291,True
310,INM-23107,Oficina Corporativa,Seguridad reforzada y acceso controlado.,3277871,True
311,INM-87143,Penthouse,Espacio abierto con doble altura.,11040007,True
312,INM-70764,Bodega Industrial,Acabados de lujo y eficiencia energética.,5355788,True
313,INM-21903,Casa Campestre,Cerca a centros comerciales y transporte público.,3243791,True
314,INM-19850,Consultorio Médico,Acabados de lujo y eficiencia energética.,7984039,True
315,INM-93166,Apartamento Studio,Cerca a centros comerciales y transporte público.,9844716,True
316,INM-50179,Local Comercial,Acabados de lujo y eficiencia energética.,14537504,True
317,INM-74618,Parqueadero Cubierto,Ubicación estratégica en el centro financiero.,3782646,True
318,INM-56303,Parqueadero Cubierto,Cerca a centros comerciales y transporte público.,13284648,True
319,INM-55406,Casa Campestre,Área residencial tranquila con zonas verdes.,5120851,True
320,INM-69000,Casa Campestre,Seguridad reforzada y acceso controlado.,8635159,True
321,INM-72667,Penthouse,Seguridad reforzada y acceso controlado.,1267652,True
322,INM-46370,Bodega Industrial,Ubicación estratégica en el centro financiero.,14005163,True
323,INM-98106,Bodega Industrial,Ubicación estratégica en el centro financiero.,10794497,True
324,INM-49103,Lote Urbanizado,Espacio abierto con doble altura.,5627090,True
325,INM-10961,Lote Urbanizado,Ubicación estratégica en el centro financiero.,5881216,True
326,INM-17117,Apartamento Studio,Seguridad reforzada y acceso controlado.,13280395,True
327,INM-82592,Consultorio Médico,Seguridad reforzada y acceso controlado.,11637589,True
328,INM-68077,Parqueadero Cubierto,Acabados de lujo y eficiencia energética.,14213788,True
329,INM-21343,Casa Campestre,Acabados de lujo y eficiencia energética.,14100172,True
330,INM-24474,Local Comercial,Seguridad reforzada y acceso controlado.,10855728,True
331,INM-53532,Oficina Corporativa,Ubicado en zona norte con vista panorámica.,3476168,True
332,INM-32840,Apartamento Studio,Área residencial tranquila con zonas verdes.,13229400,True
333,INM-56913,Apartamento Studio,Seguridad reforzada y acceso controlado.,11605616,True
334,INM-61799,Apartamento Studio,Cerca a centros comerciales y transporte público.,9068300,True
335,INM-94454,Lote Urbanizado,Ubicación estratégica en el centro financiero.,6286904,True
336,INM-26579,Casa Campestre,Ubicado en zona norte con vista panorámica.,13334582,True
337,INM-92467,Consultorio Médico,Ubicación estratégica en el centro financiero.,1063452,True
338,INM-61733,Oficina Corporativa,Ubicado en zona norte con vista panorámica.,2653715,True
339,INM-78636,Casa Campestre,Ubicación estratégica en el centro financiero.,14794072,True
340,INM-92074,Penthouse,Espacio abierto con doble altura.,5667501,True
341,INM-88468,Consultorio Médico,Área residencial tranquila con zonas verdes.,2705852,True
342,INM-32223,Local Comercial,Seguridad reforzada y acceso controlado.,14123884,True
343,INM-64671,Apartamento Studio,Acabados de lujo y eficiencia energética.,9442498,True
344,INM-59823,Parqueadero Cubierto,Ubicación estratégica en el centro financiero.,5364847,True
